file,id,line,mutator,static,status,coveredBy,killedBy,replacement
CircuitBreaker/BrokenCircuitException.cs,0,30,String mutation,False,Killed,1,1,"$"""""
CircuitBreaker/CircuitBreakerManualControl.cs,1,29,Equality mutation,False,CompileError,0,0,_onIsolate.Count != 0
CircuitBreaker/CircuitBreakerManualControl.cs,2,29,Linq method mutation (Count() to Sum()),False,CompileError,0,0,_onIsolate.Sum
CircuitBreaker/CircuitBreakerManualControl.cs,3,32,Block removal mutation,False,Ignored,10,0,{}
CircuitBreaker/CircuitBreakerManualControl.cs,4,35,Block removal mutation,False,CompileError,0,0,{}
CircuitBreaker/CircuitBreakerManualControl.cs,5,36,Statement mutation,False,Ignored,10,0,;
CircuitBreaker/CircuitBreakerManualControl.cs,6,37,Statement mutation,False,Ignored,10,0,;
CircuitBreaker/CircuitBreakerManualControl.cs,7,42,Negate expression,False,Killed,10,1,!(isolated)
CircuitBreaker/CircuitBreakerManualControl.cs,8,43,Block removal mutation,False,Ignored,3,0,{}
CircuitBreaker/CircuitBreakerManualControl.cs,9,44,Boolean mutation,False,Killed,3,2,false
CircuitBreaker/CircuitBreakerManualControl.cs,10,45,Statement mutation,False,Ignored,3,0,;
CircuitBreaker/CircuitBreakerManualControl.cs,11,52,Block removal mutation,False,Ignored,6,0,{}
CircuitBreaker/CircuitBreakerManualControl.cs,12,54,Block removal mutation,False,Ignored,6,0,{}
CircuitBreaker/CircuitBreakerManualControl.cs,13,55,Statement mutation,False,Ignored,6,0,;
CircuitBreaker/CircuitBreakerManualControl.cs,14,56,Statement mutation,False,Ignored,6,0,;
CircuitBreaker/CircuitBreakerManualControl.cs,15,67,Block removal mutation,False,Ignored,7,0,{}
CircuitBreaker/CircuitBreakerManualControl.cs,16,70,Block removal mutation,False,CompileError,0,0,{}
CircuitBreaker/CircuitBreakerManualControl.cs,17,72,Boolean mutation,False,Killed,7,2,false
CircuitBreaker/CircuitBreakerManualControl.cs,18,75,Boolean mutation,False,Killed,7,1,true
CircuitBreaker/CircuitBreakerManualControl.cs,19,78,Block removal mutation,False,Ignored,7,0,{}
CircuitBreaker/CircuitBreakerManualControl.cs,20,80,Block removal mutation,False,Ignored,4,0,{}
